,year,water,disaster,province,amphur,tambon,maintenance,price,breed,produce
335,2561,72,0,30.0,9.0,5.0,700.0,14.0,101.0,450.0
336,2561,24,0,30.0,10.0,10.0,750.0,14.0,101.0,450.0
337,2561,120,0,30.0,10.0,12.0,650.0,14.0,101.0,450.0
338,2561,123,0,30.0,10.0,3.0,650.0,14.0,101.0,450.0
339,2561,81,11,30.0,10.0,8.0,700.0,14.0,101.0,450.0
340,2561,82,1,30.0,10.0,13.0,650.0,14.0,101.0,450.0
341,2561,57,4,30.0,10.0,7.0,650.0,14.0,101.0,450.0
342,2561,36,6,30.0,14.0,2.0,600.0,11.0,101.0,450.0
343,2561,106,13,30.0,28.0,4.0,1700.0,16.0,101.0,350.0
344,2561,164,80,30.0,28.0,3.0,1700.0,16.0,101.0,350.0
345,2561,132,0,30.0,1.0,6.0,650.0,14.0,101.0,450.0
346,2561,37,0,30.0,25.0,4.0,750.0,14.0,101.0,450.0
347,2561,16,9,30.0,20.0,6.0,650.0,14.0,101.0,450.0
348,2561,48,7,30.0,20.0,12.0,800.0,14.0,101.0,450.0
349,2561,39,0,30.0,3.0,4.0,750.0,14.0,101.0,450.0
350,2561,12,0,30.0,3.0,6.0,600.0,14.0,101.0,480.0
351,2561,22,0,30.0,26.0,1.0,750.0,14.0,101.0,480.0
352,2561,62,0,30.0,9.0,7.0,650.0,14.0,101.0,450.0
353,2561,65,0,30.0,8.0,2.0,750.0,14.0,101.0,450.0
354,2561,82,2,30.0,8.0,8.0,800.0,14.0,101.0,450.0
355,2561,33,0,30.0,9.0,4.0,700.0,14.0,101.0,450.0
356,2561,43,0,30.0,22.0,9.0,650.0,14.0,101.0,450.0
357,2561,35,0,30.0,5.0,4.0,520.0,14.0,101.0,450.0
358,2561,12,0,30.0,23.0,1.0,600.0,16.5,101.0,395.0
359,2561,34,0,30.0,23.0,5.0,1100.0,13.0,101.0,450.0
360,2561,64,7,30.0,8.0,12.0,650.0,14.0,101.0,450.0
361,2561,73,1,30.0,8.0,13.0,650.0,14.0,101.0,450.0
362,2561,34,13,30.0,19.0,2.0,700.0,14.0,101.0,450.0
363,2561,3,0,53.0,7.0,7.0,290.0,8.0,101.0,900.0
364,2561,48,72,30.0,30.0,4.0,275.0,15.0,101.0,370.0
365,2561,41,0,30.0,15.0,7.0,650.0,14.0,101.0,450.0
366,2561,47,0,30.0,15.0,5.0,700.0,14.0,101.0,450.0
367,2561,35,0,30.0,9.0,4.0,750.0,14.0,101.0,450.0
368,2561,23,0,53.0,7.0,5.0,620.0,6.4,101.0,800.0
369,2561,15,0,53.0,7.0,9.0,1000.0,6.5,101.0,950.0
